name;tc;pc;m;sigma;e;mi;sigmai;ei;ci
(3,3,3-TRIFLUOROPROPYL)METHYLDICHLOROSILANE;561.7;25.25;4.1422;3.74;230.5;4.2681;3.855;224.2;31.096
(3-GLYCIDOXYPROPYL)METHYLDIETHOXYSILANE;698.7;15.98;6.864;3.7093;244.4;7.1897;3.902;236;85.335
(3-METHACRYLOXYPROPYL)TRICHLOROSILANE;708.1;21.13;5.7366;3.6975;260.7;5.921;3.8767;253.1;62.415
[3-(2,3-EPOXYPROPOXY)PROPYL]TRIMETHOXYSILANE;701.4;18.12;6.7007;3.5763;247.6;7.0409;3.7806;238.3;81.754
3-MERCAPTOPROPYLTRIETHOXYSILANE;647.5;18.63;7.5694;3.483;216.8;7.6927;3.5097;214.7;19.813
1-Ethyl-4-[2-(4-ethylphenyl)ethyl]benzene;780.9;19.17;5.1578;3.9942;302.1;5.5847;4.2382;284.3;91.355
1-ethyl-4-(2-phenylethyl)benzene;771;21.7;5.1465;3.834;297.9;5.521;4.0684;281.7;79.888
1,1,1,2,2,3,4,5,5,5-DECAFLUOROPENTANE;454.2;22.88;5.023;3.3345;172.6;4.8829;3.5208;172.9;28.123
1,1,1,2,2-PENTAFLUOROPROPANE;380.11;31.37;3.1682;3.3695;174.2;3.3264;3.4573;167.3;18.046
1,1,1,2,3,3,3-HEPTAFLUOROPROPANE;374.83;29.12;3.6199;3.2781;162.1;3.7247;3.3832;157.6;18.514
1,1,1,2,3,3-HEXAFLUOROPROPANE;412.38;34.12;3.6949;3.1891;177;3.8321;3.2777;171.5;17.107
1,1,1,2-TETRACHLORODIFLUOROETHANE;552;33.4;2.8398;3.8591;266;2.9554;4.0017;255.4;28.747
1,1,1,2-TETRACHLOROETHANE;624;40.2;2.6005;3.8788;315;2.8406;3.9747;293.8;28.177
1,1,1,2-TETRAFLUOROETHANE;374.18;40.56;3.2357;3.0193;171;3.5013;3.098;161.2;16.817
1,1,1,3,3,3-HEXAFLUOROPROPANE;398.07;32.19;3.9434;3.1394;166.2;4.0039;3.2482;162.8;17.019
1,1,1,3,3-PENTACHLOROPROPANE;670.9;32.96;3.3916;3.8377;300.1;3.4792;4.0427;289.8;40.427
1,1,1,3,3-PENTAFLUOROBUTANE;473.7;33.92;3.346;3.5022;208.1;2.9562;3.7829;219.1;15.489
1,1,1,3,3-PENTAFLUOROPROPANE;427.2;36.4;3.9063;3.0835;178.9;3.885;3.2289;176.7;17.687
1,1,1-TRICHLOROETHANE;545;43;2.4608;3.7695;279.4;2.6555;3.8044;264.4;16.031
1,1,1-TRICHLORO-2-FLUOROETHANE;565;39.9;2.5619;3.6993;289.9;2.9017;3.8258;263.5;34.665
1,1,1-TRICHLOROTRIFLUOROETHANE;483;33.2;2.728;3.7984;237.4;3.0311;3.8006;221;21.195
1,1,1-TRIFLUOROETHANE;345.88;37.64;2.6194;3.2291;174.6;2.9897;3.2771;159.2;18.901
1,1,2,2,3-PENTAFLUOROPROPANE;447.57;39.25;3.5597;3.1772;194.9;3.7076;3.2548;188.5;15.49
1,1,2,2-TETRACHLORODIFLUOROETHANE;551;33.4;2.8998;3.8236;263.7;3.1267;3.9192;248.8;29.569
1,1,2,2-TETRACHLOROETHANE;645;40.9;3.0159;3.647;302.2;2.8753;3.9785;302;34.635
1,1,2,2-TETRAFLUOROETHANE;391.8;46.4;2.7228;3.1824;191.6;3.0253;3.1725;179.4;11.226
1,1,2,2-TETRAPHENYLETHANE;827;16.7;6.6217;4.0017;290.4;6.8019;4.1653;283.7;75.081
1,1,2-TRICHLOROETHANE;602;44.8;2.7468;3.5988;296.5;2.9719;3.7276;277.8;26.68
1,1,2-TRICHLOROTRIFLUOROETHANE;487.25;34.1;2.8435;3.7394;232.7;2.9127;3.8321;226.9;16.734
1,1,2-TRIFLUOROETHANE;429.8;52.41;3.4247;2.8592;190.5;3.4979;2.9799;185.3;13.537
1,1,2-TRIMETHYLCYCLOPENTANE;579.54;29.39;2.7353;4.1472;284.5;2.9188;4.2636;269.6;34.443
1,1,2-TRIPHENYLETHANE;840;20.4;5.4007;3.9415;319.4;5.7961;4.1889;302.3;91.547
1,1,3-TRIMETHYLCYCLOHEXANE;611.3;29.78;2.9548;4.2064;286.6;3.0979;4.2294;277.1;16.701
1,1,3-TRIMETHYLCYCLOPENTANE;569.54;28.27;2.6261;4.2419;283.1;2.6068;4.4688;278.7;35.497
1,1,5-TRIMETHYLINDAN;713.6;27.19;3.434;4.171;318.6;3.7348;4.2856;299.7;49.814
1,1-DIBROMOETHANE;628;60.3;2.6996;3.5717;295.5;1.9425;3.9686;353.6;-5.782
1,1-DICHLORO-1-FLUOROETHANE;478.85;43.4;2.539;3.5909;240.7;2.6778;3.6219;231.5;10.868
1,1-DICHLOROETHANE;523;50.7;2.7241;3.417;253.9;2.7767;3.4966;248.7;10.653
1,1-DICHLOROETHYLENE;482;51.9;2.7657;3.3252;233.3;3.073;3.2564;219.3;8.325
1,1-DICHLOROPROPANE;560;42.4;2.7272;3.6362;275.1;2.9237;3.7279;260.3;24.594
1,1-DICHLOROTETRAFLUOROETHANE;418.55;33;2.7816;3.6409;201.8;2.9263;3.6767;194.5;12.783
1,1-DIETHYLCYCLOHEXANE;643;25.7;3.9464;3.9013;270.4;4.1088;4.068;260.3;46.346
1,1-DIFLUOROETHANE;386.44;45.2;2.7007;3.0998;192.9;3.0957;3.1594;175.3;18.923
1,1-DIFLUOROETHYLENE;302.8;44.6;2.0267;3.2726;170;2.0276;3.3912;166.9;7.973
