m|sigma|e|k_ab|e_ab|mu|na|nb|inchi|smiles
7.01200008392334|3.6768999099731445|246.99070739746094|0.0012|1639.9573|0.0|4.0|0.0|InChI=1S/C14H26O4/c1-13(2,3)17-11(15)9-7-8-10-12(16)18-14(4,5)6/h7-10H2,1-6H3|CC(C)(C)OC(=O)CCCCC(=O)OC(C)(C)C
5.144599914550781|3.8538999557495117|392.0260009765625|0.0008|2973.6475|0.0|3.0|0.0|InChI=1S/C9H14N.CHF3O3S/c1-2-3-7-10-8-5-4-6-9-10;2-1(3,4)8(5,6)7/h4-6,8-9H,2-3,7H2,1H3;(H,5,6,7)/q+1;/p-1|CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F
5.1092000007629395|4.221700191497803|437.3656005859375|0.002|2161.4285|0.0|6.0|0.0|InChI=1S/C8H18NO2.C2F6NO4S2/c1-9(3-6-10-2)4-7-11-8-5-9;3-1(4,5)14(10,11)9-15(12,13)2(6,7)8/h3-8H2,1-2H3;/q+1;-1|COCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
3.063199996948242|3.527899980545044|303.6322021484375|0.0364|1853.5098|0.0|1.0|0.0|InChI=1S/C6H8O/c7-6-4-2-1-3-5-6/h2,4H,1,3,5H2|O=C1C=CCCC1
7.815800189971924|3.179800033569336|234.73880004882812|0.0005|5281.0629|0.0|6.0|0.0|InChI=1S/C9H14O6/c1-6(10)13-4-9(15-8(3)12)5-14-7(2)11/h9H,4-5H2,1-3H3|CC(=O)OCC(COC(C)=O)OC(C)=O
6.710299968719482|4.058300018310547|280.85870361328125|0.0002|4189.69|0.0|2.0|0.0|InChI=1S/C9H14N3.C6F18P/c1-11-7-8-12(9-11)6-4-2-3-5-10;7-1(8,9)4(16,17)25(22,23,24,5(18,19)2(10,11)12)6(20,21)3(13,14)15/h7-9H,2-4,6H2,1H3;/q+1;-1|C[n+]1ccn(CCCCC#N)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
6.33489990234375|4.546199798583984|389.1669006347656|0.0001|580.3583|0.0|6.0|0.0|InChI=1S/C20H24O6/c1-2-6-18-17(5-1)23-13-9-21-11-15-25-19-7-3-4-8-20(19)26-16-12-22-10-14-24-18/h1-8H,9-16H2|c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2
3.3559000492095947|3.6737000942230225|387.0089111328125|0.0023|2270.929|0.0|2.0|0.0|InChI=1S/C6H8N2/c7-5-3-1-2-4-6-8/h1-4H2|N#CCCCCC#N
2.219899892807007|3.2760000228881836|212.1920928955078|0.1446|2110.265|0.0|1.0|0.0|InChI=1S/C2H6O/c1-3-2/h1-2H3|COC
3.307800054550171|4.5329999923706055|257.8981018066406|0.0027|3075.9459|0.0|1.0|1.0|InChI=1S/C8H5F13O/c9-3(10,1-2-22)4(11,12)5(13,14)6(15,16)7(17,18)8(19,20)21/h22H,1-2H2|OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
4.577300071716309|3.5562000274658203|339.3609924316406|0.0018|2524.7789|0.0|4.0|1.0|InChI=1S/C6H7N3.C2H4O2/c7-2-1-4-9-5-3-8-6-9;1-2(3)4/h3,5-6H,1,4H2;1H3,(H,3,4)|CC(=O)O.N#CCCn1ccnc1
4.69950008392334|3.4684998989105225|292.0270080566406|0.0051|3490.7016|0.0|2.0|0.0|InChI=1S/C8H7FO2/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5H,1H3|COC(=O)c1ccc(F)cc1
6.6946001052856445|3.651400089263916|252.95700073242188|0.0029|2270.6248|0.0|4.0|0.0|InChI=1S/C12H22O4/c1-3-5-9-15-11(13)7-8-12(14)16-10-6-4-2/h3-10H2,1-2H3|CCCCOC(=O)CCC(=O)OCCCC
1.8558000326156616|4.499499797821045|386.6737976074219|0.0006|2222.7784|0.0|3.0|1.0|InChI=1S/C5H10O3/c1-3-8-5(7)4(2)6/h4,6H,3H2,1-2H3|CCOC(=O)C(C)O
4.374800205230713|4.048099994659424|328.0802001953125|0.0021|2900.0816|0.0|1.0|0.0|InChI=1S/C11H18N.4O.Re/c1-2-3-4-6-9-12-10-7-5-8-11-12;;;;;/h5,7-8,10-11H,2-4,6,9H2,1H3;;;;;/q+1;;;;-1;|CCCCCC[n+]1ccccc1.[O-].[O].[O].[O].[Re]
17.308399200439453|3.8559000492095947|173.02650451660156|0.0026|1598.0089|0.0|9.0|0.0|InChI=1S/C22H66O9Si10/c1-32(2,3)23-34(7,8)25-36(11,12)27-38(15,16)29-40(19,20)31-41(21,22)30-39(17,18)28-37(13,14)26-35(9,10)24-33(4,5)6/h1-22H3|C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
3.158799886703491|3.09060001373291|289.36810302734375|0.0646|1340.5326|0.0|0.0|1.0|InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H|c1cc[nH]c1
3.9781999588012695|3.742000102996826|333.79620361328125|0.392|1443.0678|0.0|1.0|0.0|InChI=1S/C9H9N/c1-10-7-6-8-4-2-3-5-9(8)10/h2-7H,1H3|Cn1ccc2ccccc21
2.0190999507904053|4.4019999504089355|355.0812072753906|0.0011|2774.9837|0.0|3.0|1.0|InChI=1S/C8H9NO2/c1-11-8(10)6-4-2-3-5-7(6)9/h2-5H,9H2,1H3|COC(=O)c1ccccc1N
3.9760000705718994|4.427700042724609|273.26080322265625|0.0067|2369.5102|0.0|3.0|0.0|InChI=1S/C14H30O3/c1-3-5-7-9-15-11-13-17-14-12-16-10-8-6-4-2/h3-14H2,1-2H3|CCCCCOCCOCCOCCCCC
4.5746002197265625|3.0374999046325684|208.9362030029297|0.5345|827.6767|0.0|2.0|1.0|InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3|CCOCCO
4.597400188446045|4.543499946594238|407.2618103027344|0.0024|4892.3068|0.0|3.0|0.0|InChI=1S/C12H23N2.CHNS/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;2-1-3/h10-12H,3-9H2,1-2H3;3H/q+1;/p-1|CCCCCCCCn1cc[n+](C)c1.N#C[S-]
3.073499917984009|3.3701999187469482|250.26780700683594|0.0118|2982.3302|0.0|2.0|0.0|InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3|C=CC(=O)OC
5.274099826812744|3.8306000232696533|253.7584991455078|0.0023|1614.6641|0.0|4.0|0.0|InChI=1S/C12H22O4/c1-11(2,3)15-9(13)7-8-10(14)16-12(4,5)6/h7-8H2,1-6H3|CC(C)(C)OC(=O)CCC(=O)OC(C)(C)C
6.153200149536133|4.444399833679199|321.5072021484375|0.0044|2870.2066|0.0|3.0|1.0|InChI=1S/C12H23N2.C2H5NO2/c1-3-4-5-6-7-8-9-14-11-10-13(2)12-14;3-1-2(4)5/h10-12H,3-9H2,1-2H3;1,3H2,(H,4,5)/q+1;/p-1|CCCCCCCCn1cc[n+](C)c1.NCC(=O)[O-]
4.24370002746582|3.578000068664551|261.8695983886719|0.0183|2564.744|0.0|2.0|1.0|InChI=1S/C8H11N.CH2O2/c1-6-4-7(2)9-8(3)5-6;2-1-3/h4-5H,1-3H3;1H,(H,2,3)|Cc1cc(C)nc(C)c1.O=CO
6.6128997802734375|3.2701001167297363|201.7012939453125|0.0168|5363.259|0.0|3.0|1.0|InChI=1S/C4H11N.NO3/c1-2-3-4-5;2-1(3)4/h2-5H2,1H3;/q;-1/p+1|CCCC[NH3+].O=[N+]([O-])[O-]
3.809000015258789|3.793299913406372|338.79840087890625|0.0009|3430.3742|0.0|1.0|0.0|InChI=1S/C13H10O/c1-3-7-12-10(5-1)9-11-6-2-4-8-13(11)14-12/h1-8H,9H2|c1ccc2c(c1)Cc1ccccc1O2
